,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
80,-200,5833,5877,14598.181009999998,14651.0,-10563.798000000315,-0.0036181898254186162,2022-08-02 09:55:00,2022-08-02 13:35:00,0 days 03:40:00
81,200,6012,6057,14957.93449,15007.0,9813.102000000072,0.003280232978209785,2022-08-05 09:50:00,2022-08-05 13:35:00,0 days 03:45:00
82,-200,6067,6085,14908.07871,14938.0,-5984.258000000045,-0.00200705205426166,2022-08-08 09:25:00,2022-08-08 10:55:00,0 days 01:30:00
83,200,6251,6297,15124.989599999999,15166.0,8202.080000000205,0.002711433269349195,2022-08-11 09:45:00,2022-08-11 13:35:00,0 days 03:50:00
84,200,6307,6357,15221.021279999999,15284.0,12595.744000000195,0.0041376146082099385,2022-08-12 09:25:00,2022-08-12 13:35:00,0 days 04:10:00
85,200,6367,6417,15330.05725,15397.0,13388.550000000032,0.0043667645142029254,2022-08-15 09:25:00,2022-08-15 13:35:00,0 days 04:10:00
86,-200,6428,6477,15400.916019999999,15405.0,-816.7960000002495,-0.00026517773323986304,2022-08-16 09:30:00,2022-08-16 13:35:00,0 days 04:05:00
87,-200,6555,6566,15235.970469999998,15306.0,-14005.906000000323,-0.004596328808715633,2022-08-18 10:05:00,2022-08-18 11:00:00,0 days 00:55:00
88,200,6567,6597,15312.051309999999,15317.0,989.7380000002158,0.0003231892252586466,2022-08-18 11:05:00,2022-08-18 13:35:00,0 days 02:30:00
89,-200,6672,6690,15221.97509,15234.0,-2404.982000000018,-0.0007899704163818466,2022-08-22 09:50:00,2022-08-22 11:20:00,0 days 01:30:00
90,-200,6705,6717,15185.98697,15188.0,-402.6060000000143,-0.00013255839109937995,2022-08-22 12:35:00,2022-08-22 13:35:00,0 days 01:00:00
91,200,6727,6728,15098.98102,15099.0,3.7960000001476146,1.2570384699817083e-06,2022-08-23 09:25:00,2022-08-23 09:30:00,0 days 00:05:00
92,-200,6729,6777,15094.017329999999,15037.0,11403.465999999753,0.0037774787688016342,2022-08-23 09:35:00,2022-08-23 13:35:00,0 days 04:00:00
93,200,6787,6820,15112.985639999999,15002.244,-22148.327999999674,-0.007327581897973556,2022-08-24 09:25:00,2022-08-24 12:10:00,0 days 02:45:00
94,-200,6824,6837,14993.050659999999,15024.0,-6189.868000000206,-0.0020642456763366734,2022-08-24 12:30:00,2022-08-24 13:35:00,0 days 01:05:00
95,200,6851,6876,15214.01897,15172.0,-8403.793999999834,-0.0027618586569961856,2022-08-25 09:45:00,2022-08-25 11:50:00,0 days 02:05:00
96,-200,6877,6897,15144.000829999999,15174.0,-5999.834000000192,-0.001980927651600073,2022-08-25 11:55:00,2022-08-25 13:35:00,0 days 01:40:00
97,200,6914,6953,15284.04207,15245.0,-7808.413999999902,-0.0025544335602577517,2022-08-26 10:00:00,2022-08-26 13:15:00,0 days 03:15:00
98,-200,6967,6999,14784.11963,14891.515999999998,-21479.273999999714,-0.007264306072176874,2022-08-29 09:25:00,2022-08-29 12:05:00,0 days 02:40:00
